alert_id,company_id,group_id,event,severity,direction,month_detected,month_evident,lead_time_months,trigger_signal,score_before,score_after,status,message
ALERT_00001,COMP_0065,GROUP_0139,regime_deteriorating,watch,down,2025-03,,,C5,78.5077141237,75.4459739559,resolved,"deterioro confirmado dos meses seguidos: el score cae 3,1 puntos desde 2024-12: de 78,5 a 75,4 (sana)."
ALERT_00002,COMP_0293,GROUP_0126,regime_deteriorating,watch,down,2025-03,,,A3,77.9799100288,75.8823651723,resolved,"deterioro confirmado dos meses seguidos: el score cae 2,1 puntos desde 2024-12: de 78,0 a 75,9 (sana)."
ALERT_00003,COMP_0819,GROUP_0250,regime_deteriorating,watch,down,2025-03,2025-09,6,P1,46.2941187596,42.1023089259,resolved,"deterioro confirmado dos meses seguidos: el score cae 4,2 puntos desde 2024-12: de 46,3 a 42,1 (vigilar)."
ALERT_00004,COMP_0852,GROUP_0090,regime_deteriorating,watch,down,2025-03,,,C1,38.6993839717,34.8599422996,resolved,"deterioro confirmado dos meses seguidos: el score cae 3,8 puntos desde 2024-12: de 38,7 a 34,9 (tension)."
ALERT_00005,COMP_0856,GROUP_0101,regime_deteriorating,watch,down,2025-03,,,L1,51.0926392053,46.8660065368,resolved,"deterioro confirmado dos meses seguidos: el score cae 4,2 puntos desde 2024-12: de 51,1 a 46,9 (vigilar)."
ALERT_00006,COMP_0909,GROUP_0220,regime_deteriorating,watch,down,2025-03,,,C5,76.2305213025,71.7834478511,resolved,"deterioro confirmado dos meses seguidos: el score cae 4,4 puntos desde 2024-12: de 76,2 a 71,8 (sana)."
ALERT_00007,COMP_0950,GROUP_0082,regime_deteriorating,watch,down,2025-03,,,P1,69.8155155125,67.0332032592,resolved,"deterioro confirmado dos meses seguidos: el score cae 2,8 puntos desde 2025-01: de 69,8 a 67,0 (sana)."
ALERT_00008,COMP_1039,GROUP_0146,regime_deteriorating,watch,down,2025-03,,,P4,83.8196541292,79.4078341645,open,"deterioro confirmado dos meses seguidos: el score cae 4,4 puntos desde 2024-12: de 83,8 a 79,4 (sana)."
ALERT_00009,COMP_0253,GROUP_0055,regime_deteriorating,watch,down,2025-04,,,L3,61.6027931175,59.0381374492,resolved,"deterioro confirmado dos meses seguidos: el score cae 2,6 puntos desde 2025-01: de 61,6 a 59,0 (vigilar)."
ALERT_00010,COMP_0314,GROUP_0101,regime_improving,review,up,2025-04,,,A1,52.2979013544,59.9083942765,resolved,"mejora confirmada dos meses seguidos: el score sube 7,6 puntos desde 2025-01: de 52,3 a 59,9 (vigilar)."
ALERT_00011,COMP_0354,GROUP_0220,regime_improving,watch,up,2025-04,,,L1,60.3349956805,63.1237105371,resolved,"mejora confirmada dos meses seguidos: el score sube 2,8 puntos desde 2025-01: de 60,3 a 63,1 (sana)."
ALERT_00012,COMP_0471,GROUP_0162,regime_improving,watch,up,2025-04,,,P1,53.2930461501,57.2795877338,resolved,"mejora confirmada dos meses seguidos: el score sube 4,0 puntos desde 2025-01: de 53,3 a 57,3 (vigilar)."
ALERT_00013,COMP_0579,GROUP_0132,regime_improving,watch,up,2025-04,,,L3,53.0251752632,56.8780629215,resolved,"mejora confirmada dos meses seguidos: el score sube 3,9 puntos desde 2025-01: de 53,0 a 56,9 (vigilar)."
ALERT_00014,COMP_0732,GROUP_0022,regime_deteriorating,watch,down,2025-04,2025-07,3,L2,74.7645155657,72.4873076459,resolved,"deterioro confirmado dos meses seguidos: el score cae 2,3 puntos desde 2025-02: de 74,8 a 72,5 (sana)."
ALERT_00015,COMP_0847,GROUP_0037,regime_deteriorating,review,down,2025-04,,,A1,52.6056358744,30.4879824907,resolved,"deterioro confirmado dos meses seguidos: el score cae 22,1 puntos desde 2025-02: de 52,6 a 30,5 (tension)."
ALERT_00016,COMP_0885,GROUP_0158,regime_improving,watch,up,2025-04,,,L3,70.8841050125,72.8319617548,resolved,"mejora confirmada dos meses seguidos: el score sube 1,9 puntos desde 2025-01: de 70,9 a 72,8 (sana)."
ALERT_00017,COMP_1008,GROUP_0220,regime_improving,review,up,2025-04,,,P3,59.5095606873,64.5698512132,resolved,"mejora confirmada dos meses seguidos: el score sube 5,1 puntos desde 2025-01: de 59,5 a 64,6 (sana)."
ALERT_00018,COMP_1139,GROUP_0197,regime_deteriorating,watch,down,2025-04,,,L3,49.1213787298,46.177106738,resolved,"deterioro confirmado dos meses seguidos: el score cae 2,9 puntos desde 2025-01: de 49,1 a 46,2 (vigilar)."
ALERT_00019,COMP_1210,GROUP_0015,regime_deteriorating,watch,down,2025-04,2025-10,6,L5,91.2259302951,89.0372910483,open,"deterioro confirmado dos meses seguidos: el score cae 2,2 puntos desde 2025-01: de 91,2 a 89,0 (excepcionalmente solida)."
ALERT_00020,COMP_0138,GROUP_0035,regime_improving,watch,up,2025-05,,,A1,75.9138523107,80.0048457007,resolved,"mejora confirmada dos meses seguidos: el score sube 4,1 puntos desde 2025-02: de 75,9 a 80,0 (excepcionalmente solida)."
ALERT_00021,COMP_0207,GROUP_0153,regime_deteriorating,watch,down,2025-05,2025-09,4,A1,68.6342249647,66.3990076371,open,"deterioro confirmado dos meses seguidos: el score cae 2,2 puntos desde 2025-02: de 68,6 a 66,4 (sana)."
ALERT_00022,COMP_0268,GROUP_0094,level_shift_up,watch,up,2025-05,,,L2,41.3129436882,54.3984416802,resolved,"escalon al alza en el nivel del score: el nivel sube 13,1 puntos: mediana de los 3 ultimos meses 54,4 frente a 41,3 de los 6 anteriores (vigilar)."
ALERT_00023,COMP_0313,GROUP_0094,level_shift_down,review,down,2025-05,,,P1,44.0350289397,28.8298920536,resolved,"escalon a la baja en el nivel del score: el nivel cae 15,2 puntos: mediana de los 3 ultimos meses 28,8 frente a 44,0 de los 6 anteriores (tension)."
ALERT_00024,COMP_0313,GROUP_0094,regime_deteriorating,review,down,2025-05,,,P1,41.5478039975,24.0972478417,resolved,"deterioro confirmado dos meses seguidos: el score cae 17,5 puntos desde 2025-02: de 41,5 a 24,1 (tension)."
ALERT_00025,COMP_0331,GROUP_0096,regime_improving,watch,up,2025-05,,,C1,27.3294970311,32.9824877361,resolved,"mejora confirmada dos meses seguidos: el score sube 5,7 puntos desde 2025-03: de 27,3 a 33,0 (tension)."
ALERT_00026,COMP_0349,GROUP_0101,level_shift_down,review,down,2025-05,,,C5,89.0014576577,73.4330466284,open,"escalon a la baja en el nivel del score: el nivel cae 15,6 puntos: mediana de los 3 ultimos meses 73,4 frente a 89,0 de los 6 anteriores (sana)."
ALERT_00027,COMP_0349,GROUP_0101,regime_deteriorating,review,down,2025-05,,,C5,87.358915003,72.8490813817,open,"deterioro confirmado dos meses seguidos: el score cae 14,5 puntos desde 2025-02: de 87,4 a 72,8 (sana)."
ALERT_00028,COMP_0440,GROUP_0162,level_shift_down,review,down,2025-05,,,A1,72.7784814415,64.1153183751,resolved,"escalon a la baja en el nivel del score: el nivel cae 8,7 puntos: mediana de los 3 ultimos meses 64,1 frente a 72,8 de los 6 anteriores (vigilar)."
ALERT_00029,COMP_0440,GROUP_0162,regime_deteriorating,review,down,2025-05,,,A1,71.4696212667,57.7889235102,resolved,"deterioro confirmado dos meses seguidos: el score cae 13,7 puntos desde 2025-03: de 71,5 a 57,8 (vigilar)."
