company_id,group_id,name,country,currency,erp,created_at,first_activity,last_activity,months_hist,has_invoices,has_debt,has_debt_repayment,has_lineofcredit,branch,n_banking_products,n_debt_products,n_invoices,n_transactions,op_in_12m,cash_quality
COMP_0001,GROUP_0147,Talleres Aranda S.L.U.,,EUR,sage200,2026-03-11,2026-01-14,2026-08-31,8,True,False,False,False,no_debt,2,0,627,198,548427.74,ok
COMP_0002,GROUP_0125,Grupo Herrera S.L.U.,PT,EUR,,2024-05-30,2024-09-02,2025-04-14,8,False,False,True,False,no_invoices_no_debt,2,0,0,581,0,ok
COMP_0003,GROUP_0044,Alimentaria Yuste S.L.U.,,EUR,businessCentral,2026-06-19,2026-01-02,2026-08-31,8,True,False,False,False,no_debt,2,0,37,425,354217.73,ok
COMP_0004,GROUP_0058,Textil Navarro S.L.,ES,EUR,businessCentral,2026-02-25,2025-12-27,2026-08-31,9,True,True,True,True,full,12,14,826,2073,7150028.04,ok
COMP_0005,GROUP_0092,Logistica Jimena S.L.,,EUR,,2026-07-02,2025-01-10,2026-08-31,19,False,False,False,False,no_invoices_no_debt,1,0,0,171,371166.88,ok
COMP_0006,GROUP_0195,Comercial Carrion S.L.,,EUR,businessCentral,2026-01-09,2025-09-01,2026-08-31,12,True,False,False,False,no_debt,2,0,224,266,133165.02,ok
COMP_0007,GROUP_0064,Industrias Quintana S.L.,,EUR,,2026-03-10,2024-12-31,2026-08-31,21,False,True,True,True,no_invoices,43,48,0,6151,70428353.97,ok
COMP_0008,GROUP_0195,Transportes Yuste S.L.U.,,EUR,businessCentral,2026-01-09,2025-09-01,2026-08-31,12,True,False,False,False,no_debt,9,0,593,1585,396885.21,ok
COMP_0009,GROUP_0225,Suministros Doriga S.L.U.,,EUR,businessCentral,2025-08-07,2024-09-02,2026-08-31,24,True,True,True,False,full,7,4,272,1216,36343681.44,ok
COMP_0010,GROUP_0013,Construcciones Salazar S.L.U.,,EUR,sageX3,2024-05-23,2024-09-04,2026-08-31,24,True,False,False,False,no_debt,1,0,602,240,573859,ok
COMP_0011,GROUP_0234,Distribuciones Arga S.L.U.,,EUR,businessOne,2025-10-20,2025-12-22,2026-08-31,9,True,False,False,False,no_debt,5,0,48,105,3489807.71,ok
COMP_0012,GROUP_0087,Hermanos Doriga S.L.U.,,EUR,,2025-10-06,2025-08-28,2026-08-29,13,False,False,False,False,no_invoices_no_debt,2,0,0,148,101703.74,ok
COMP_0013,GROUP_0203,Electro Carrion S.L.U.,,EUR,netsuite,2026-02-19,2025-12-31,2026-08-31,9,True,True,True,False,full,4,2,1431,785,324820.26,ok
COMP_0014,GROUP_0173,Quimica Navarro S.L.,,CAD,businessCentral,2026-01-21,2026-01-02,2026-08-31,8,True,False,False,False,no_debt,1,0,2019,2741,1659976.89,low
COMP_0015,GROUP_0068,Agricola Beltran S.L.,,EUR,businessCentral,2025-04-24,2025-04-01,2026-08-03,17,True,False,False,False,no_debt,1,0,13,27,0,ok
COMP_0016,GROUP_0070,Suministros Gallardo S.L.,ES,EUR,businessCentral,2023-06-06,2024-09-02,2026-08-27,24,True,False,True,False,no_debt,11,0,257,734,5929570.83,ok
COMP_0017,GROUP_0073,Transportes Quintana S.L.,,EUR,businessCentral,2025-04-15,2025-03-21,2026-08-26,18,True,False,False,False,no_debt,1,0,48,74,147404.6,ok
COMP_0018,GROUP_0250,Industrias Pinilla S.L.U.,,EUR,distritoK,2022-04-22,2024-09-02,2026-08-24,24,True,False,False,False,no_debt,1,0,371,337,99008.35,ok
