group_id,month,score,band,regime,delta_1m,delta_3m,outlook_6m,outlook_low,outlook_high,confidence,n_companies_scored,dispersion,weakest_company,weakest_score,strongest_company,intragroup_dependency_max
GROUP_0001,2026-01,53.3141334014,watch,warmup,,,53.3141334014,43.9080927891,62.7201740137,0.191111111111,2,10.7430172928,COMP_0939,53.3141334014,COMP_0853,
GROUP_0001,2026-02,55.3110841167,watch,warmup,1.99695071535,,55.3110841167,45.9050435044,64.717124729,0.189761747385,3,13.6499057593,COMP_0939,54.3252633046,COMP_0853,
GROUP_0001,2026-03,53.6507618285,watch,warmup,-1.66032228819,,54.5091643178,45.1031237055,63.9152049301,0.189761747385,3,15.13656222,COMP_0939,51.638456644,COMP_0853,
GROUP_0001,2026-04,54.7077072093,watch,stable,1.05694538075,1.39357380791,56.3214461906,46.9154055783,65.7274868029,0.189761747385,3,11.5041712648,COMP_0939,53.0417673574,COMP_0853,
GROUP_0001,2026-05,54.3918075998,watch,stable,-0.315899609464,-0.919276516902,55.508026146,46.1019855337,64.9140667582,0.189761747385,3,13.5166225382,COMP_0939,52.6956171387,COMP_0853,
GROUP_0001,2026-06,54.3966343391,watch,stable,0.00482673932072,0.745872510607,55.2550368284,45.8489962161,64.6610774407,0.308918980629,3,13.3280693062,COMP_0939,53.124313502,COMP_0853,
GROUP_0001,2026-07,59.605766624,watch,stable,5.20913228491,4.89805941477,60.8737498921,51.4677092798,70.2797905044,0.332083057924,3,6.05651923096,COMP_0939,59.0314187667,COMP_0853,
GROUP_0001,2026-08,63.1054852655,healthy,stable,3.49971864141,8.71367766564,71.4321862706,62.0261456583,80.8382268828,0.332083057924,3,3.005981507,COMP_0158,62.6832176934,COMP_0853,
GROUP_0002,2026-05,63.036718145,healthy,warmup,,,63.036718145,53.6306775327,72.4427587573,0.223288888889,1,0,COMP_1053,63.036718145,COMP_1053,
GROUP_0002,2026-06,66.9998557678,healthy,warmup,3.9631376228,,66.9998557678,57.5938151555,76.4058963801,0.223288888889,1,0,COMP_1053,66.9998557678,COMP_1053,
GROUP_0002,2026-07,65.2381523677,healthy,warmup,-1.76170340015,,70.8518096354,61.4457690231,80.2578502477,0.223288888889,1,0,COMP_1053,65.2381523677,COMP_1053,
GROUP_0002,2026-08,67.7145714761,healthy,stable,2.47641910844,4.67785333109,74.4975754414,65.0915348291,83.9036160537,0.223288888889,1,0,COMP_1053,67.7145714761,COMP_1053,
GROUP_0003,2026-01,71.0357776388,healthy,warmup,,,71.0357776388,61.6297370265,80.441818251,0.295111111111,4,10.2978968415,COMP_0154,62.4590090803,COMP_0208,
GROUP_0003,2026-02,73.8758117124,healthy,warmup,2.84003407366,,73.8758117124,64.4697711001,83.2818523247,0.295111111111,4,9.50625339231,COMP_0154,67.0092509103,COMP_0208,
GROUP_0003,2026-03,72.0362723396,healthy,warmup,-1.83953937281,,74.5875338268,65.1814932145,83.9935744391,0.295111111111,4,10.0453544298,COMP_0072,63.3698154555,COMP_0208,
GROUP_0003,2026-04,72.7228348185,healthy,stable,0.686562478884,1.68705717973,75.4324641648,66.0264235526,84.8385047771,0.295111111111,4,9.74712592544,COMP_0072,65.6615741762,COMP_0208,
GROUP_0003,2026-05,71.8462375282,healthy,stable,-0.876597290286,-2.02957418421,72.1206113232,62.7145707109,81.5266519355,0.295111111111,4,10.6192179188,COMP_0072,63.5957640572,COMP_0208,
GROUP_0003,2026-06,73.981103496,healthy,stable,2.13486596775,1.94483115635,76.5323649831,67.1263243708,85.9384055954,0.516444444444,4,10.7678554048,COMP_0072,65.8176106369,COMP_0208,
GROUP_0003,2026-07,70.6117896741,healthy,stable,-3.36931382186,-2.1110451444,67.6716985946,58.2656579823,77.0777392069,0.516444444444,4,33.007391638,COMP_0154,40,COMP_0208,
GROUP_0003,2026-08,68.3035270215,healthy,stable,-2.30826265256,-3.54271050667,64.7147502761,55.3087096638,74.1207908883,0.516444444444,4,37.4761715261,COMP_0154,40,COMP_0208,
GROUP_0004,2024-09,74.1448895731,healthy,warmup,,,74.1448895731,64.7388489608,83.5509301854,0.322641954159,2,21.9826381288,COMP_0585,52.5305838549,COMP_1188,
GROUP_0004,2024-10,72.69194173,healthy,warmup,-1.45294784311,,72.69194173,63.2859011177,82.0979823423,0.322641954159,2,17.8149087022,COMP_0585,55.1755326086,COMP_1188,
GROUP_0004,2024-11,72.5060362496,healthy,warmup,-0.185905480401,,68.3269602746,58.9209196624,77.7330008869,0.322641954159,2,19.2382325432,COMP_0585,53.5901519399,COMP_1188,
GROUP_0004,2024-12,72.4930527974,healthy,stable,-0.0129834522217,-1.65183677573,70.614932563,61.2088919507,80.0209731753,0.322641954159,2,21.1923798527,COMP_0585,51.6557640994,COMP_1188,
GROUP_0004,2025-01,72.7346803885,healthy,stable,0.241627591147,0.0427386585245,72.0070380244,62.6009974121,81.4130786367,0.322641954159,2,21.6557225348,COMP_0585,51.4418125957,COMP_1188,
GROUP_0004,2025-02,70.6802717944,healthy,stable,-2.05440859414,-1.82576445522,68.1153926265,58.7093520142,77.5214332388,0.564623419779,2,19.314371656,COMP_0585,51.6895241288,COMP_1188,
GROUP_0004,2025-03,68.9847197279,healthy,stable,-1.69555206645,-3.50833306944,65.8809201541,56.4748795418,75.2869607663,0.564623419779,2,17.156248767,COMP_0585,52.1159342958,COMP_1188,
GROUP_0004,2025-04,72.6588831025,healthy,stable,3.67416337455,-0.0757972860417,72.5300277162,63.1239871039,81.9360683285,0.564623419779,2,18.416992772,COMP_0585,54.5504781944,COMP_1188,
GROUP_0004,2025-05,71.7096829266,healthy,stable,-0.949200175905,1.0294111322,70.9106456584,61.5046050461,80.3166862706,0.564623419779,2,19.3398623837,COMP_0585,52.6938716459,COMP_1188,
GROUP_0004,2025-06,72.8367154981,healthy,stable,1.12703257153,3.85199577018,73.290188107,63.8841474947,82.6962287192,0.564623419779,2,21.8826761593,COMP_0585,51.3206968261,COMP_1188,
