company_id,month,headline,body,watch_next,guardrail_passed
COMP_0001,2026-01,Primeros meses: 75 provisional (sana),"Solo hay 1 meses de historia, asi que la lectura es provisional y no dispara alertas. Lo que mas aporta es 0 % de las facturas de cliente cobradas tarde (+1,8 pts frente a la mediana).",Se mantienen las senales de fortaleza (GROWTH_NO_DSO); el outlook a seis meses se mantiene plano.,True
COMP_0001,2026-02,Primeros meses: 75 provisional (sana),"Solo hay 2 meses de historia, asi que la lectura es provisional y no dispara alertas. Lo que mas aporta es 0 % de las facturas de cliente cobradas tarde (+1,8 pts frente a la mediana).",Se mantienen las senales de fortaleza (GROWTH_NO_DSO); el outlook a seis meses se mantiene plano.,True
COMP_0001,2026-03,Primeros meses: 77 provisional (sana),"Solo hay 3 meses de historia, asi que la lectura es provisional y no dispara alertas. Lo que mas aporta es 0 % de las facturas de cliente cobradas tarde (+1,8 pts frente a la mediana).",Se mantienen las senales de fortaleza (GROWTH_NO_DSO); el outlook a seis meses apunta al alza.,True
COMP_0001,2026-04,"Cae 2,3 puntos hasta 75 (sana)","El score cierra el mes en 74,9 puntos (-2,3 frente al mes anterior), sin cambios de regimen. Lo que mas aporta es 0 % de las facturas de cliente cobradas tarde (+1,8 pts frente a la mediana).",Sin drivers en contra este mes; el outlook a seis meses apunta a la baja.,True
COMP_0001,2026-05,"Sube 1,2 puntos hasta 76 (sana)","El score cierra el mes en 76,1 puntos (+1,2 frente al mes anterior), sin cambios de regimen. Lo que mas aporta es 0 % de las facturas de cliente cobradas tarde (+1,8 pts frente a la mediana).",Se mantienen las senales de fortaleza (GROWTH_NO_DSO); el outlook a seis meses se mantiene plano.,True
COMP_0001,2026-06,"Cae 3,6 puntos hasta 73 (sana)","El score cierra el mes en 72,5 puntos (-3,6 frente al mes anterior), sin cambios de regimen. Lo que mas aporta es 1 % de las facturas de cliente cobradas tarde (+1,7 pts frente a la mediana).",Sin drivers en contra este mes; el outlook a seis meses apunta a la baja.,True
COMP_0001,2026-07,"Sube 1,7 puntos hasta 74 (sana)","El score cierra el mes en 74,2 puntos (+1,7 frente al mes anterior), sin cambios de regimen. Lo que mas aporta es 0 % de las facturas de cliente cobradas tarde (+1,8 pts frente a la mediana).",Se mantienen las senales de fortaleza (GROWTH_NO_DSO); el outlook a seis meses apunta a la baja.,True
COMP_0001,2026-08,"Sube 2,6 puntos hasta 77 (sana)","El score cierra el mes en 76,8 puntos (+2,6 frente al mes anterior), sin cambios de regimen. Lo que mas aporta es 0 % de las facturas de cliente cobradas tarde (+1,8 pts frente a la mediana).",Se mantienen las senales de fortaleza (GROWTH_NO_DSO); el outlook a seis meses se mantiene plano.,True
COMP_0002,2024-09,Primeros meses: 43 provisional (a vigilar),"Solo hay 1 meses de historia, asi que la lectura es provisional y no dispara alertas. Lo que mas pesa en contra es cobros -6 % frente a 12 meses (-2,6 pts frente a la mediana), seguido de 20 dias de colchon de caja (-2,3 pts frente a la mediana). El pilar mas debil resta 2,9 puntos de penalizacion.","Vigilar cobros -6 % frente a 12 meses: es el driver que marca el mes que viene, y el suelo del outlook a seis meses entra en una banda peor.",True
COMP_0002,2024-10,Primeros meses: 44 provisional (a vigilar),"Solo hay 2 meses de historia, asi que la lectura es provisional y no dispara alertas. Lo que mas pesa en contra es cobros -7 % frente a 12 meses (-2,6 pts frente a la mediana), seguido de 19 dias de colchon de caja (-2,3 pts frente a la mediana). El pilar mas debil resta 2,1 puntos de penalizacion.","Vigilar cobros -7 % frente a 12 meses: es el driver que marca el mes que viene, y el suelo del outlook a seis meses entra en una banda peor.",True
COMP_0002,2024-11,Primeros meses: 44 provisional (a vigilar),"Solo hay 3 meses de historia, asi que la lectura es provisional y no dispara alertas. Lo que mas pesa en contra es cobros -6 % frente a 12 meses (-2,6 pts frente a la mediana), seguido de 20 dias de colchon de caja (-2,2 pts frente a la mediana). El pilar mas debil resta 2,3 puntos de penalizacion.","Vigilar cobros -6 % frente a 12 meses: es el driver que marca el mes que viene, y el suelo del outlook a seis meses entra en una banda peor.",True
COMP_0002,2024-12,"Cae 1,3 puntos hasta 42 (a vigilar)","El score cierra el mes en 42,5 puntos (-1,3 frente al mes anterior), sin cambios de regimen. Lo que mas pesa en contra es cobros -7 % frente a 12 meses (-2,6 pts frente a la mediana), seguido de 20 dias de colchon de caja (-2,2 pts frente a la mediana). El pilar mas debil resta 3,3 puntos de penalizacion.","Vigilar cobros -7 % frente a 12 meses: es el driver que marca el mes que viene, y el outlook a seis meses apunta a la baja.",True
COMP_0002,2025-01,Estable en 43 (a vigilar),"El score cierra el mes en 42,9 puntos (+0,4 frente al mes anterior), sin cambios de regimen. Lo que mas pesa en contra es cobros -6 % frente a 12 meses (-2,6 pts frente a la mediana), seguido de 20 dias de colchon de caja (-2,2 pts frente a la mediana). El pilar mas debil resta 2,8 puntos de penalizacion.","Vigilar cobros -6 % frente a 12 meses: es el driver que marca el mes que viene, y el suelo del outlook a seis meses entra en una banda peor.",True
COMP_0002,2025-02,"Cae 1,2 puntos hasta 42 (a vigilar)","El score cierra el mes en 41,7 puntos (-1,2 frente al mes anterior), sin cambios de regimen. Lo que mas pesa en contra es cobros -9 % frente a 12 meses (-2,7 pts frente a la mediana), seguido de 19 dias de colchon de caja (-2,3 pts frente a la mediana). El pilar mas debil resta 3,5 puntos de penalizacion.","Vigilar cobros -9 % frente a 12 meses: es el driver que marca el mes que viene, y el outlook a seis meses apunta a la baja.",True
COMP_0002,2025-03,"Cae 1,3 puntos hasta 40 (a vigilar)","El score cierra el mes en 40,3 puntos (-1,3 frente al mes anterior), sin cambios de regimen. Lo que mas pesa en contra es cobros -10 % frente a 12 meses (-2,8 pts frente a la mediana), seguido de 19 dias de colchon de caja (-2,3 pts frente a la mediana). El pilar mas debil resta 4,0 puntos de penalizacion.","Vigilar cobros -10 % frente a 12 meses: es el driver que marca el mes que viene, y el outlook a seis meses apunta a la baja.",True
COMP_0002,2025-04,"Cae 3,5 puntos hasta 37 (en tension)","El score cierra el mes en 36,8 puntos (-3,5 frente al mes anterior), sin cambios de regimen. Lo que mas pesa en contra es cobros -13 % frente a 12 meses (-3,0 pts frente a la mediana), seguido de 18 dias de colchon de caja (-2,5 pts frente a la mediana). El pilar mas debil resta 5,9 puntos de penalizacion.","Vigilar cobros -13 % frente a 12 meses: es el driver que marca el mes que viene, y el outlook a seis meses apunta a la baja.",True
COMP_0002,2025-05,"Cae 5,2 puntos hasta 32 (en tension)","El score cierra el mes en 31,7 puntos (-5,2 frente al mes anterior), en deterioro confirmado. Lo que mas pesa en contra es cobros -19 % frente a 12 meses (-3,3 pts frente a la mediana), seguido de 16 dias de colchon de caja (-2,9 pts frente a la mediana). El pilar mas debil resta 7,8 puntos de penalizacion.","Vigilar cobros -19 % frente a 12 meses: es el driver que marca el mes que viene, y el outlook a seis meses apunta a la baja.",True
COMP_0002,2025-06,Estable en 32 (en tension),"El score cierra el mes en 32,4 puntos (+0,7 frente al mes anterior), en deterioro confirmado. Lo que mas pesa en contra es cobros -16 % frente a 12 meses (-3,4 pts frente a la mediana), seguido de 18 dias de colchon de caja (-2,9 pts frente a la mediana). El pilar mas debil resta 7,6 puntos de penalizacion.","Vigilar cobros -16 % frente a 12 meses: es el driver que marca el mes que viene, y el outlook a seis meses apunta a la baja.",True
COMP_0002,2025-07,"Cae 3,2 puntos hasta 29 (en tension)","El score cierra el mes en 29,1 puntos (-3,2 frente al mes anterior), en deterioro confirmado. Lo que mas pesa en contra es cobros -21 % frente a 12 meses (-3,6 pts frente a la mediana), seguido de 16 dias de colchon de caja (-3,1 pts frente a la mediana). El pilar mas debil resta 9,0 puntos de penalizacion.","Vigilar cobros -21 % frente a 12 meses: es el driver que marca el mes que viene, y el outlook a seis meses apunta a la baja.",True
COMP_0002,2025-08,"Sube 2,7 puntos hasta 32 (en tension)","El score cierra el mes en 31,8 puntos (+2,7 frente al mes anterior), en deterioro confirmado. Lo que mas pesa en contra es cobros -18 % frente a 12 meses (-3,6 pts frente a la mediana), seguido de 17 dias de colchon de caja (-3,1 pts frente a la mediana). El pilar mas debil resta 7,0 puntos de penalizacion.","Vigilar cobros -18 % frente a 12 meses: es el driver que marca el mes que viene, y el outlook a seis meses apunta a la baja.",True
