signal_id,pillar,pillar_name,name,unit,direction,weight_in_pillar,pillar_weight,norm,anchors,window,ewma,requires,scores
L1,L,Liquidez,Dias de colchon de caja,dias,higher_better,30,25,anchor,"[[0,0.0],[10,0.3],[27,0.6],[60,0.9],[120,1.0]]",3m,flow,,True
L2,L,Liquidez,Minimo de caja sobre salidas,ratio,higher_better,20,25,percentile,,1m+3m,flow,,True
L3,L,Liquidez,Dias en negativo,dias,lower_better,25,25,anchor,"[[0,1.0],[1,0.6],[3,0.6],[4,0.3],[9,0.3],[10,0.0]]",3m,stock,,True
L4,L,Liquidez,Meses de runway,meses,higher_better,15,25,anchor,"[[0,0.0],[0.5,0.25],[1,0.45],[3,0.8],[6,1.0]]",3m,stock,,True
L5,L,Liquidez,Colchon invertido,ratio,higher_better,10,25,anchor,"[[0,0.5],[1,1.0]]",12m,stock,,True
P1,P,Disciplina de pago propia,Facturas propias pagadas tarde,fraccion,lower_better,30,20,anchor,"[[0,1.0],[0.25,0.7],[0.5,0.4],[0.75,0.15],[1,0.0]]",3m,stock,invoices,True
P2,P,Disciplina de pago propia,Retraso propio ponderado,dias,lower_better,20,20,anchor,"[[0,1.0],[7,0.8],[15,0.6],[30,0.3],[60,0.0]]",3m,stock,invoices,True
P3,P,Disciplina de pago propia,Deuda comercial vencida sobre recibido,ratio,lower_better,15,20,percentile,,stock+3m,stock,invoices,True
P4,P,Disciplina de pago propia,Regularidad de Seguridad Social,fraccion,higher_better,15,20,anchor,"[[0.5,0.0],[0.67,0.4],[0.83,0.7],[1,1.0]]",6m,stock,ss,True
P5,P,Disciplina de pago propia,Regularidad de impuestos,fraccion,higher_better,10,20,anchor,"[[0,0.0],[0.5,0.3],[0.75,0.6],[1,1.0]]",12m,stock,tax,True
P6,P,Disciplina de pago propia,Regularidad de nomina,fraccion,higher_better,10,20,anchor,"[[0,0.0],[0.5,0.3],[0.75,0.6],[0.9,1.0]]",6m,stock,salary,True
C1,C,Cobros y clientes,Facturas de cliente cobradas tarde,fraccion,lower_better,25,15,anchor,"[[0,1.0],[0.25,0.7],[0.5,0.4],[0.75,0.15],[1,0.0]]",3m,stock,invoices,True
C2,C,Cobros y clientes,Mora de clientes ponderada,dias,lower_better,15,15,anchor,"[[0,1.0],[10,0.8],[20,0.6],[40,0.3],[80,0.0]]",3m,stock,invoices,True
C3,C,Cobros y clientes,Cartera vencida sobre emitido,ratio,lower_better,20,15,percentile,,stock+3m,stock,invoices,True
C4,C,Cobros y clientes,Ratio de cobro,ratio,higher_better,15,15,anchor,"[[0.6,0.0],[0.85,0.5],[1,0.8],[1.1,1.0]]",3m,flow,invoices,True
C5,C,Cobros y clientes,Diversificacion de clientes,indice,higher_better,15,15,percentile,,12m,stock,invoices,True
C6,C,Cobros y clientes,Rotacion de clientes relativa,indice,lower_better,10,15,percentile,,24m,stock,invoices,True
D1,D,Deuda y coste de financiacion,Utilizacion de lineas,fraccion,lower_better,25,20,anchor,"[[0,1.0],[0.3,0.9],[0.6,0.6],[0.9,0.2],[1,0.0]]",foto+3m,stock,loc,True
D2,D,Deuda y coste de financiacion,Regularidad de amortizacion,ratio,higher_better,25,20,anchor,"[[0,0.0],[0.5,0.2],[0.8,0.6],[1,1.0]]",6m/12m,stock,debt,True
D3,D,Deuda y coste de financiacion,Servicio de deuda sobre cobros,ratio,lower_better,20,20,anchor,"[[0,1.0],[0.1,0.8],[0.25,0.5],[0.5,0.2],[1,0.0]]",3m,stock,debt,True
D4,D,Deuda y coste de financiacion,Peso de comisiones e intereses,ratio,lower_better,15,20,percentile,,3m,stock,,True
D5,D,Deuda y coste de financiacion,Deuda no bancaria,fraccion,lower_better,10,20,anchor,"[[0,1.0],[0.25,0.6],[0.5,0.3],[0.75,0.0]]",foto,stock,debt,True
D6,D,Deuda y coste de financiacion,Apalancamiento por flujo,ratio,lower_better,5,20,percentile,,12m,stock,debt,True
A1,A,Actividad y estabilidad,Crecimiento de cobros,variacion,higher_better,25,20,percentile,,3m/12m,flow,,True
A2,A,Actividad y estabilidad,Volatilidad de cobros,cv,lower_better,25,20,percentile,,3m,flow,,True
A3,A,Actividad y estabilidad,Flujo operativo neto,ratio,higher_better,20,20,anchor,"[[-0.3,0.0],[-0.1,0.35],[0,0.5],[0.1,0.7],[0.3,1.0]]",3m,flow,,True
A4,A,Actividad y estabilidad,Tendencia de actividad,ratio,higher_better,10,20,percentile,,3m/12m,flow,,True
A5,A,Actividad y estabilidad,Dependencia intragrupo,fraccion,lower_better,10,20,anchor,"[[0,1.0],[0.2,0.7],[0.5,0.3],[0.8,0.0]]",6m,stock,intercompany,True
A6,A,Actividad y estabilidad,Movimientos sin clasificar,fraccion,lower_better,0,20,percentile,,3m,stock,,False
